Timestamp,ID(Hex),ID(Dec),Data,Message Name,Decoded Signals
2025-06-07 18:30:28.344,4,4,FD 0F 58 0A 00 00 00 00,APPS_Info,Error decoding message: 4
2025-06-07 18:30:28.346,5,5,A1 01 00 00 00 06 00 00,Sensors_Info,Error decoding message: 5
2025-06-07 18:30:28.347,2,2,00 00 00 00 00 00 00 00,ECU_FAULTS,Error decoding message: 2
2025-06-07 18:30:28.348,B0,176,00 00 01 00 00 00 04 00,M176_Fast_Info,Error decoding message: 176
2025-06-07 18:30:28.349,C0,192,00 00 00 00 01 00 00 00,M192_Command_Message,Error decoding message: 192
2025-06-07 18:30:28.350,4,4,FD 0F 57 0A 00 00 00 00,APPS_Info,Error decoding message: 4
2025-06-07 18:30:28.351,5,5,A1 01 00 00 00 06 00 00,Sensors_Info,Error decoding message: 5
2025-06-07 18:30:28.352,6,6,00 00 83 00 53 01 00 00,Internal_States,Error decoding message: 6
2025-06-07 18:30:28.353,B0,176,00 00 F8 FF 00 00 02 00,M176_Fast_Info,Error decoding message: 176
2025-06-07 18:30:28.354,B0,176,00 00 02 00 00 00 04 00,M176_Fast_Info,Error decoding message: 176
2025-06-07 18:30:28.355,AB,171,00 00 00 00 00 00 00 00,M171_Fault_Codes,Error decoding message: 171
2025-06-07 18:30:28.356,A6,166,F9 FF FE FF 02 00 00 00,M166_Current_Info,Error decoding message: 166
2025-06-07 18:30:28.357,5,5,A1 01 00 00 00 06 00 00,Sensors_Info,Error decoding message: 5
2025-06-07 18:30:28.358,B0,176,00 00 FD FF 00 00 01 00,M176_Fast_Info,Error decoding message: 176
2025-06-07 18:30:28.359,C0,192,00 00 00 00 01 00 00 00,M192_Command_Message,Error decoding message: 192
2025-06-07 18:30:28.360,B0,176,00 00 00 00 00 00 02 00,M176_Fast_Info,Error decoding message: 176
2025-06-07 18:30:28.361,B0,176,00 00 04 00 00 00 04 00,M176_Fast_Info,Error decoding message: 176
2025-06-07 18:30:28.362,C0,192,00 00 00 00 01 00 00 00,M192_Command_Message,Error decoding message: 192
2025-06-07 18:30:28.363,4,4,FD 0F 58 0A 00 00 00 00,APPS_Info,Error decoding message: 4
2025-06-07 18:30:28.365,B0,176,00 00 FD FF 00 00 03 00,M176_Fast_Info,Error decoding message: 176
2025-06-07 18:30:28.366,B0,176,00 00 08 00 00 00 03 00,M176_Fast_Info,Error decoding message: 176
2025-06-07 18:30:28.366,C0,192,00 00 00 00 01 00 00 00,M192_Command_Message,Error decoding message: 192
2025-06-07 18:30:28.368,4,4,FD 0F 58 0A 00 00 00 00,APPS_Info,Error decoding message: 4
2025-06-07 18:30:28.369,3,3,00 00 00 00 00 00 00 00,MC_FAULTS,Error decoding message: 3
2025-06-07 18:30:28.370,B0,176,00 00 FF FF 00 00 03 00,M176_Fast_Info,Error decoding message: 176
2025-06-07 18:30:28.370,C0,192,00 00 00 00 01 00 00 00,M192_Command_Message,Error decoding message: 192
2025-06-07 18:30:28.371,4,4,FC 0F 58 0A 00 00 00 00,APPS_Info,Error decoding message: 4
2025-06-07 18:30:28.372,5,5,A1 01 00 00 00 06 00 00,Sensors_Info,Error decoding message: 5
2025-06-07 18:30:28.373,2,2,00 00 00 00 00 00 00 00,ECU_FAULTS,Error decoding message: 2
2025-06-07 18:30:28.374,B0,176,00 00 00 00 00 00 02 00,M176_Fast_Info,Error decoding message: 176
2025-06-07 18:30:28.375,AB,171,00 00 00 00 00 00 00 00,M171_Fault_Codes,Error decoding message: 171
2025-06-07 18:30:28.376,C0,192,00 00 00 00 01 00 00 00,M192_Command_Message,Error decoding message: 192
2025-06-07 18:30:28.376,5,5,A1 01 00 00 00 06 00 00,Sensors_Info,Error decoding message: 5
2025-06-07 18:30:28.377,B0,176,00 00 00 00 00 00 02 00,M176_Fast_Info,Error decoding message: 176
2025-06-07 18:30:28.378,B0,176,00 00 FB FF 00 00 06 00,M176_Fast_Info,Error decoding message: 176
2025-06-07 18:30:28.379,C0,192,00 00 00 00 01 00 00 00,M192_Command_Message,Error decoding message: 192
2025-06-07 18:30:28.380,4,4,FD 0F 58 0A 00 00 00 00,APPS_Info,Error decoding message: 4
2025-06-07 18:30:28.381,6,6,00 00 83 00 53 01 00 00,Internal_States,Error decoding message: 6
2025-06-07 18:30:28.381,B0,176,00 00 00 00 00 00 05 00,M176_Fast_Info,Error decoding message: 176
2025-06-07 18:30:28.382,C0,192,00 00 00 00 01 00 00 00,M192_Command_Message,Error decoding message: 192
2025-06-07 18:30:28.384,4,4,FD 0F 58 0A 00 00 00 00,APPS_Info,Error decoding message: 4
2025-06-07 18:30:28.385,5,5,A1 01 00 00 00 06 00 00,Sensors_Info,Error decoding message: 5
2025-06-07 18:30:28.387,6,6,00 00 83 00 53 01 00 00,Internal_States,Error decoding message: 6
2025-06-07 18:30:28.388,A6,166,04 00 06 00 05 00 00 00,M166_Current_Info,Error decoding message: 166
2025-06-07 18:30:28.390,B0,176,00 00 F9 FF 00 00 02 00,M176_Fast_Info,Error decoding message: 176
2025-06-07 18:30:28.390,C0,192,00 00 00 00 01 00 00 00,M192_Command_Message,Error decoding message: 192
2025-06-07 18:30:28.391,4,4,FC 0F 58 0A 00 00 00 00,APPS_Info,Error decoding message: 4
